title,genres,actors,director
The Smurfs,Animation Family Adventure Comedy Fantasy,Hank Azaria Neil Patrick Harris Jayma Mays,Raja Gosnell
Home on the Range,Animation Family,Roseanne Barr Judi Dench Jennifer Tilly,Will Finn
Allegiant,Adventure Science Fiction,Shailene Woodley Theo James Zoë Kravitz,Robert Schwentke
Real Steel,Action Science Fiction Drama,Hugh Jackman Dakota Goyo Evangeline Lilly,Shawn Levy
The Smurfs 2,Fantasy Family Comedy Animation,Hank Azaria Neil Patrick Harris Brendan Gleeson,Raja Gosnell
Speed 2: Cruise Control,Action Adventure Thriller,Sandra Bullock Jason Patric Willem Dafoe,Jan de Bont
Ender's Game,Science Fiction Action Adventure,Asa Butterfield Harrison Ford Hailee Steinfeld,Gavin Hood
Live Free or Die Hard,Action Thriller,Bruce Willis Justin Long Timothy Olyphant,Len Wiseman
The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Action,Elijah Wood Ian McKellen Cate Blanchett,Peter Jackson
Around the World in 80 Days,Action Adventure Comedy,Jackie Chan Steve Coogan Cécile de France,Frank Coraci
Ali,Drama,Will Smith Jamie Foxx Jon Voight,Michael Mann
The Cat in the Hat,Comedy Fantasy Family,Mike Myers Dakota Fanning Spencer Breslin,Bo Welch
"I, Robot",Action Science Fiction,Will Smith Bridget Moynahan Alan Tudyk,Alex Proyas
Kingdom of Heaven,Drama Action Adventure History War,Orlando Bloom Eva Green Jeremy Irons,Ridley Scott
Stuart Little,Animation Fantasy Family Comedy,Michael J. Fox Geena Davis Hugh Laurie,Rob Minkoff
The Princess and the Frog,Romance Family Animation Music,Anika Noni Rose Bruno Campos Keith David,Ron Clements
The Martian,Drama Adventure Science Fiction,Matt Damon Jessica Chastain Kristen Wiig,Ridley Scott
The Island,Action Thriller Science Fiction Adventure,Ewan McGregor Scarlett Johansson Djimon Hounsou,Michael Bay
Town & Country,Comedy Romance,Warren Beatty Diane Keaton Goldie Hawn,Peter Chelsom
Gone in Sixty Seconds,Action Crime Thriller,Nicolas Cage Angelina Jolie Giovanni Ribisi,Dominic Sena
Gladiator,Action Drama Adventure,Russell Crowe Joaquin Phoenix Connie Nielsen,Ridley Scott
Minority Report,Action Thriller Science Fiction Mystery,Tom Cruise Colin Farrell Samantha Morton,Steven Spielberg
Harry Potter and the Chamber of Secrets,Adventure Fantasy Family,Daniel Radcliffe Rupert Grint Emma Watson,Chris Columbus
Casino Royale,Adventure Action Thriller,Daniel Craig Eva Green Mads Mikkelsen,Martin Campbell
Planet of the Apes,Thriller Science Fiction Action Adventure,Mark Wahlberg Tim Roth Helena Bonham Carter,Tim Burton
Terminator 2: Judgment Day,Action Thriller Science Fiction,Arnold Schwarzenegger Linda Hamilton Robert Patrick,James Cameron
Public Enemies,History Crime Drama,Christian Bale Johnny Depp Giovanni Ribisi,Michael Mann
American Gangster,Drama Crime,Denzel Washington Russell Crowe Chiwetel Ejiofor,Ridley Scott
True Lies,Action Thriller,Arnold Schwarzenegger Jamie Lee Curtis Tom Arnold,James Cameron
The Taking of Pelham 1 2 3,Thriller Drama Crime,Denzel Washington John Travolta Luis Guzmán,Tony Scott
Little Fockers,Comedy Romance,Robert De Niro Ben Stiller Owen Wilson,Paul Weitz
The Other Guys,Action Comedy Crime,Will Ferrell Mark Wahlberg Eva Mendes,Adam McKay
Eraser,Action Drama Mystery Thriller,Arnold Schwarzenegger James Caan Vanessa Williams,Chuck Russell
Django Unchained,Drama Western,Jamie Foxx Christoph Waltz Leonardo DiCaprio,Quentin Tarantino
The Hunchback of Notre Dame,Drama Animation Family,Tom Hulce Demi Moore Tony Jay,Gary Trousdale
The Emperor's New Groove,Adventure Animation Comedy Family Fantasy,David Spade John Goodman Eartha Kitt,Mark Dindal
The Expendables 2,Action Adventure Thriller,Sylvester Stallone Jason Statham Dolph Lundgren,Simon West
National Treasure,Adventure Action Thriller Mystery,Nicolas Cage Diane Kruger Justin Bartha,Jon Turteltaub
Eragon,Fantasy Action Adventure Family,Ed Speleers Jeremy Irons Sienna Guillory,Stefen Fangmeier
Where the Wild Things Are,Family Fantasy,Max Records Catherine Keener Lauren Ambrose,Spike Jonze
Epic,Animation Adventure Family Fantasy,Josh Hutcherson Amanda Seyfried Colin Farrell,Chris Wedge
The Tourist,Action Thriller Romance,Johnny Depp Angelina Jolie Paul Bettany,Florian Henckel von Donnersmarck
End of Days,Action Fantasy Horror Mystery,Arnold Schwarzenegger Gabriel Byrne Kevin Pollak,Peter Hyams
Blood Diamond,Drama Thriller Action,Leonardo DiCaprio Djimon Hounsou Jennifer Connelly,Edward Zwick
The Wolf of Wall Street,Crime Drama Comedy,Leonardo DiCaprio Jonah Hill Margot Robbie,Martin Scorsese
Batman Forever,Action Crime Fantasy,Val Kilmer Tommy Lee Jones Jim Carrey,Joel Schumacher
Starship Troopers,Adventure Action Thriller Science Fiction,Casper Van Dien Dina Meyer Denise Richards,Paul Verhoeven
Cloud Atlas,Drama Science Fiction,Tom Hanks Halle Berry Jim Broadbent,Tom Tykwer
Legend of the Guardians: The Owls of Ga'Hoole,Animation Adventure Family Fantasy,Emily Barclay Abbie Cornish Essie Davis,Zack Snyder
Catwoman,Action Crime,Halle Berry Benjamin Bratt Sharon Stone,Pitof
Hercules,Action Adventure,Dwayne Johnson Ian McShane John Hurt,Brett Ratner
Treasure Planet,Adventure Animation Family Fantasy Science Fiction,Joseph Gordon-Levitt Brian Murray David Hyde Pierce,Ron Clements
Land of the Lost,Adventure Comedy Science Fiction,Will Ferrell Anna Friel Danny McBride,Brad Silberling
The Expendables 3,Action Adventure Thriller,Sylvester Stallone Jason Statham Harrison Ford,Patrick Hughes
Point Break,Action Crime Thriller,Edgar Ramírez Luke Bracey Teresa Palmer,Ericson Core
Son of the Mask,Fantasy Comedy Family Adventure,Jamie Kennedy Alan Cumming Traylor Howard,Lawrence Guterman
In the Heart of the Sea,Thriller Drama Adventure Action History,Chris Hemsworth Benjamin Walker Cillian Murphy,Ron Howard
The Adventures of Pluto Nash,Action Comedy Science Fiction,Eddie Murphy Randy Quaid Rosario Dawson,Ron Underwood
Green Zone,War Action Adventure Drama Thriller,Matt Damon Greg Kinnear Brendan Gleeson,Paul Greengrass
The Peanuts Movie,Animation,Noah Schnapp Bill Melendez Venus Schultheis,Steve Martino
The Spanish Prisoner,Crime Drama Mystery Thriller,Steve Martin Campbell Scott Ben Gazzara,David Mamet
The Mummy Returns,Adventure Action Fantasy,Brendan Fraser Rachel Weisz John Hannah,Stephen Sommers
Gangs of New York,Drama History Crime,Leonardo DiCaprio Daniel Day-Lewis Cameron Diaz,Martin Scorsese
金陵十三釵,Drama History War,Christian Bale Ni Ni Tong Dawei,Zhang Yimou
Surf's Up,Animation Comedy Family,Shia LaBeouf Jeff Bridges Zooey Deschanel,Ash Brannon
The Stepford Wives,Action Comedy Science Fiction,Nicole Kidman Matthew Broderick Bette Midler,Frank Oz
Black Hawk Down,Action History War,Josh Hartnett Ewan McGregor Jason Isaacs,Ridley Scott
The Campaign,Comedy,Will Ferrell Zach Galifianakis Dylan McDermott,Jay Roach
The Fifth Element,Adventure Fantasy Action Thriller Science Fiction,Bruce Willis Gary Oldman Ian Holm,Luc Besson
Sex and the City 2,Comedy Drama Romance,Sarah Jessica Parker Kristin Davis Cynthia Nixon,Michael Patrick King
The Road to El Dorado,Adventure Animation Comedy Family,Kenneth Branagh Kevin Kline Rosie Perez,Don Michael Paul
Ice Age: Continental Drift,Animation Comedy Adventure Family,John Leguizamo Ray Romano Chris Wedge,Steve Martino
Cinderella,Romance Fantasy Family Drama,Lily James Cate Blanchett Richard Madden,Kenneth Branagh
The Lovely Bones,Fantasy Drama,Rachel Weisz Mark Wahlberg Susan Sarandon,Peter Jackson
Finding Nemo,Animation Family,Albert Brooks Ellen DeGeneres Alexander Gould,Andrew Stanton
The Lord of the Rings: The Return of the King,Adventure Fantasy Action,Elijah Wood Ian McKellen Viggo Mortensen,Peter Jackson
The Lord of the Rings: The Two Towers,Adventure Fantasy Action,Elijah Wood Ian McKellen Viggo Mortensen,Peter Jackson
Seventh Son,Adventure Fantasy,Jeff Bridges Julianne Moore Ben Barnes,Sergei Bodrov
Lara Croft: Tomb Raider,Adventure Fantasy Action Thriller,Angelina Jolie Jon Voight Iain Glen,Simon West
Transcendence,Thriller Science Fiction Drama Mystery,Johnny Depp Paul Bettany Rebecca Hall,Wally Pfister
Jurassic Park III,Adventure Action Thriller Science Fiction,Sam Neill William H. Macy Téa Leoni,Joe Johnston
Rise of the Planet of the Apes,Thriller Action Drama Science Fiction,James Franco Freida Pinto John Lithgow,Rupert Wyatt
The Spiderwick Chronicles,Adventure Family Fantasy,Freddie Highmore Mary-Louise Parker Nick Nolte,Mark Waters
A Good Day to Die Hard,Action Thriller,Bruce Willis Jai Courtney Sebastian Koch,John Moore
The Alamo,Western History War,Dennis Quaid Billy Bob Thornton Jason Patric,John Lee Hancock
The Incredibles,Action Adventure Animation Family,Craig T. Nelson Holly Hunter Samuel L. Jackson,Brad Bird
Cutthroat Island,Action Adventure,Geena Davis Matthew Modine Frank Langella,Renny Harlin
Percy Jackson & the Olympians: The Lightning Thief,Adventure Fantasy Family,Logan Lerman Brandon T. Jackson Alexandra Daddario,Chris Columbus
Men in Black,Action Adventure Comedy Science Fiction,Tommy Lee Jones Will Smith Linda Fiorentino,Barry Sonnenfeld
Toy Story 2,Animation Comedy Family,Tom Hanks Tim Allen Joan Cusack,John Lasseter
Unstoppable,Action Thriller,Denzel Washington Chris Pine Rosario Dawson,Tony Scott
Rush Hour 2,Action Comedy Crime Thriller,Chris Tucker Jackie Chan Zhang Ziyi,Brett Ratner
What Lies Beneath,Drama Horror Mystery Thriller,Harrison Ford Michelle Pfeiffer Diana Scarwid,Robert Zemeckis
Cloudy with a Chance of Meatballs,Animation Comedy Family,Bill Hader Anna Faris James Caan,Phil Lord
Ice Age: Dawn of the Dinosaurs,Animation Comedy Family Adventure,Ray Romano John Leguizamo Denis Leary,Carlos Saldanha
The Secret Life of Walter Mitty,Adventure Comedy Drama Fantasy,Ben Stiller Kristen Wiig Patton Oswalt,Ben Stiller
Charlie's Angels,Action Adventure Comedy Crime Thriller,Cameron Diaz Lucy Liu Drew Barrymore,McG
The Departed,Drama Thriller Crime,Leonardo DiCaprio Matt Damon Jack Nicholson,Martin Scorsese
Mulan,Animation Family Adventure,Eddie Murphy Jackie Chan Ming-Na Wen,Tony Bancroft
Tropic Thunder,Action Comedy,Ben Stiller Jack Black Robert Downey Jr.,Ben Stiller
The Girl with the Dragon Tattoo,Thriller Crime Mystery Drama,Daniel Craig Rooney Mara Christopher Plummer,David Fincher
Die Hard: With a Vengeance,Action Thriller,Bruce Willis Jeremy Irons Samuel L. Jackson,John McTiernan
Sherlock Holmes,Action Adventure Crime Mystery,Robert Downey Jr. Jude Law Rachel McAdams,Guy Ritchie
Ben-Hur,Drama,Jack Huston Toby Kebbell Rodrigo Santoro,Timur Bekmambetov
Atlantis: The Lost Empire,Animation Family Adventure Science Fiction,Michael J. Fox Corey Burton Claudia Christian,Gary Trousdale
Alvin and the Chipmunks: The Road Chip,Adventure Animation Comedy Family,Jason Lee Justin Long Bella Thorne,Walt Becker
Valkyrie,Drama Thriller History War,Tom Cruise Carice van Houten Kenneth Branagh,Bryan Singer
You Don't Mess with the Zohan,Comedy Action,Adam Sandler John Turturro Emmanuelle Chriqui,Dennis Dugan
Pixels,Action Comedy Science Fiction,Adam Sandler Michelle Monaghan Peter Dinklage,Chris Columbus
A.I. Artificial Intelligence,Drama Science Fiction Adventure,Haley Joel Osment Frances O'Connor Sam Robards,Steven Spielberg
The Haunted Mansion,Thriller Fantasy Comedy Family Mystery,Eddie Murphy Terence Stamp Nathaniel Parker,Rob Minkoff
Contact,Drama Science Fiction Mystery,Jodie Foster Matthew McConaughey James Woods,Robert Zemeckis
Hollow Man,Action Science Fiction Thriller,Kevin Bacon Elisabeth Shue Josh Brolin,Paul Verhoeven
The Interpreter,Crime Thriller,Nicole Kidman Sean Penn Catherine Keener,Sydney Pollack
Percy Jackson: Sea of Monsters,Adventure Family Fantasy,Logan Lerman Alexandra Daddario Douglas Smith,Thor Freudenthal
Lara Croft Tomb Raider: The Cradle of Life,Action Adventure Fantasy Thriller,Angelina Jolie Gerard Butler Noah Taylor,Jan de Bont
Now You See Me 2,Action Adventure Comedy Crime Mystery Thriller,Jesse Eisenberg Woody Harrelson Mark Ruffalo,Jon M. Chu
The Saint,Thriller Action Romance Science Fiction Adventure,Val Kilmer Elisabeth Shue Rade Serbedzija,Phillip Noyce
Spy Game,Action Crime Thriller,Robert Redford Brad Pitt Catherine McCormack,Tony Scott
Mission to Mars,Science Fiction,Gary Sinise Tim Robbins Don Cheadle,Brian De Palma
Rio,Animation Adventure Comedy Family,Jesse Eisenberg Anne Hathaway Leslie Mann,Carlos Saldanha
Bicentennial Man,Comedy Science Fiction,Robin Williams Sam Neill Embeth Davidtz,Chris Columbus
Volcano,Science Fiction Action Drama Thriller,Tommy Lee Jones Anne Heche Gaby Hoffmann,Mick Jackson
The Devil's Own,Crime Thriller Drama,Harrison Ford Brad Pitt Margaret Colin,Alan J. Pakula
K-19: The Widowmaker,Drama History Thriller,Harrison Ford Liam Neeson Peter Sarsgaard,Kathryn Bigelow
Conan the Barbarian,Adventure Fantasy Action,Arnold Schwarzenegger James Earl Jones Max von Sydow,John Milius
Cinderella Man,Romance Drama History,Russell Crowe Renée Zellweger Paul Giamatti,Ron Howard
The Nutcracker: The Untold Story,Fantasy Action Family,Elle Fanning Nathan Lane John Turturro,Andrei Konchalovsky
Seabiscuit,Drama History,Jeff Bridges David McCullough Chris Cooper,Gary Ross
Twister,Action Adventure Drama,Helen Hunt Bill Paxton Cary Elwes,Jan de Bont
Cast Away,Adventure Drama,Tom Hanks Helen Hunt Chris Noth,Robert Zemeckis
Happy Feet,Animation Comedy,Elijah Wood Robin Williams Brittany Murphy,George Miller
The Bourne Supremacy,Action Drama Thriller,Matt Damon Franka Potente Brian Cox,Paul Greengrass
Air Force One,Action Thriller,Harrison Ford Gary Oldman Glenn Close,Wolfgang Petersen
Ocean's Eleven,Thriller Crime,George Clooney Brad Pitt Matt Damon,Steven Soderbergh
The Three Musketeers,Adventure Action Thriller,Milla Jovovich Orlando Bloom Logan Lerman,Paul W.S. Anderson
Hotel Transylvania,Animation Comedy Family Fantasy,Adam Sandler Steve Buscemi David Spade,Genndy Tartakovsky
Enchanted,Comedy Family Fantasy Romance,Amy Adams Patrick Dempsey James Marsden,Kevin Lima
Safe House,Action Thriller,Denzel Washington Ryan Reynolds Vera Farmiga,Daniel Espinosa
102 Dalmatians,Comedy Family,Glenn Close Ioan Gruffudd Alice Evans,Kevin Lima
Tower Heist,Action Comedy,Ben Stiller Eddie Murphy Casey Affleck,Brett Ratner
The Holiday,Comedy Romance,Cameron Diaz Kate Winslet Jude Law,Nancy Meyers
Enemy of the State,Action Drama Thriller,Will Smith Gene Hackman Jon Voight,Tony Scott
It's Complicated,Comedy Romance,Meryl Streep Alec Baldwin Steve Martin,Nancy Meyers
Ocean's Thirteen,Crime Thriller,George Clooney Brad Pitt Matt Damon,Steven Soderbergh
Open Season,Adventure Animation Family,Martin Lawrence Ashton Kutcher Gary Sinise,Jill Culton
Divergent,Adventure Action Science Fiction,Shailene Woodley Theo James Kate Winslet,Neil Burger
Enemy at the Gates,War,Jude Law Rachel Weisz Ed Harris,Jean-Jacques Annaud
The Rundown,Adventure Action Comedy Thriller,Dwayne Johnson Seann William Scott Rosario Dawson,Peter Berg
Last Action Hero,Adventure Fantasy Action Comedy Family,Arnold Schwarzenegger F. Murray Abraham Art Carney,John McTiernan
Memoirs of a Geisha,Drama History Romance,Zhang Ziyi Gong Li Youki Kudoh,Rob Marshall
The Fast and the Furious: Tokyo Drift,Action Crime Drama Thriller,Lucas Black Nathalie Kelley Sung Kang,Justin Lin
Arthur Christmas,Drama Animation Family Comedy,James McAvoy Hugh Laurie Bill Nighy,Barry Cook
Meet Joe Black,Fantasy Drama Mystery,Brad Pitt Anthony Hopkins Claire Forlani,Martin Brest
Collateral Damage,Action Thriller Drama,Arnold Schwarzenegger Francesca Neri Elias Koteas,Andrew Davis
All That Jazz,Drama Music,Roy Scheider Jessica Lange Leland Palmer,Bob Fosse
Mirror Mirror,Adventure Fantasy Drama Comedy Science Fiction Family,Julia Roberts Lily Collins Armie Hammer,Tarsem Singh
Scott Pilgrim vs. the World,Action Adventure Comedy,Michael Cera Mary Elizabeth Winstead Kieran Culkin,Edgar Wright
The Core,Action Thriller Adventure Science Fiction,Aaron Eckhart Hilary Swank Delroy Lindo,Jon Amiel
Nutty Professor II: The Klumps,Fantasy Comedy Romance Science Fiction,Eddie Murphy Janet Jackson Larry Miller,Peter Segal
Scooby-Doo,Mystery Adventure Comedy,Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard,Raja Gosnell
Dredd,Action Science Fiction,Karl Urban Olivia Thirlby Lena Headey,Pete Travis
Click,Comedy Drama Fantasy Romance,Adam Sandler Kate Beckinsale Christopher Walken,Frank Coraci
Creepshow,Horror Comedy Fantasy,Hal Holbrook Adrienne Barbeau Fritz Weaver,George A. Romero
Cats & Dogs 2 : The Revenge of Kitty Galore,Comedy Family,James Marsden Nick Nolte Christina Applegate,Brad Peyton
Jumper,Adventure Fantasy Science Fiction,Hayden Christensen Jamie Bell Samuel L. Jackson,Doug Liman
Hellboy II: The Golden Army,Adventure Fantasy Science Fiction,Ron Perlman Selma Blair Jeffrey Tambor,Guillermo del Toro
Zodiac,Crime Drama Mystery Thriller,Jake Gyllenhaal Robert Downey Jr. Mark Ruffalo,David Fincher
The 6th Day,Science Fiction,Arnold Schwarzenegger Michael Rapaport Tony Goldwyn,Roger Spottiswoode
Bruce Almighty,Fantasy Comedy,Jim Carrey Jennifer Aniston Philip Baker Hall,Tom Shadyac
The Expendables,Thriller Adventure Action,Sylvester Stallone Jason Statham Dolph Lundgren,Sylvester Stallone
Mission: Impossible,Adventure Action Thriller,Tom Cruise Jon Voight Emmanuelle Béart,Brian De Palma
The Hunger Games,Science Fiction Adventure Fantasy,Jennifer Lawrence Josh Hutcherson Liam Hemsworth,Gary Ross
The Hangover Part II,Comedy,Bradley Cooper Ed Helms Zach Galifianakis,Todd Phillips
Batman Returns,Action Fantasy,Michael Keaton Danny DeVito Michelle Pfeiffer,Tim Burton
Over the Hedge,Comedy Animation Family,Bruce Willis Garry Shandling Steve Carell,Karey Kirkpatrick
Lilo & Stitch,Animation Family,Chris Sanders Daveigh Chase Tia Carrere,Chris Sanders
Charlotte's Web,Comedy Family Fantasy,Julia Roberts Steve Buscemi John Cleese,Gary Winick
Deep Impact,Action Drama Romance,Robert Duvall Téa Leoni Elijah Wood,Mimi Leder
RED 2,Action Comedy Crime Thriller,Bruce Willis Catherine Zeta-Jones Anthony Hopkins,Dean Parisot
The Longest Yard,Comedy Drama,Adam Sandler Chris Rock Burt Reynolds,Peter Segal
Alvin and the Chipmunks: Chipwrecked,Comedy Fantasy Family Music Animation,Jason Lee David Cross Jenny Slate,Mike Mitchell
Grown Ups 2,Comedy,Adam Sandler Kevin James Chris Rock,Dennis Dugan
Get Smart,Action Comedy Thriller,Steve Carell Anne Hathaway Dwayne Johnson,Peter Segal
Something's Gotta Give,Drama Comedy Romance,Jack Nicholson Diane Keaton Keanu Reeves,Nancy Meyers
Shutter Island,Drama Thriller Mystery,Leonardo DiCaprio Mark Ruffalo Ben Kingsley,Martin Scorsese
Four Christmases,Comedy Romance Drama,Vince Vaughn Reese Witherspoon Robert Duvall,Seth Gordon
Robots,Animation Comedy Family Science Fiction,Robin Williams Ewan McGregor Halle Berry,Chris Wedge
